SC,SP,Periode,Device_trust,Friendship,Localisation,Reputation,Experiance
f3,f1,14,0.9988,0.333333,0.502559,0.6,0.925
f3,f2,14,0.999852,0.333333,0.657919,0.5725,0.85
f3,h1,14,0.999572,0.333333,0.4744,0.5,0.5
f3,h2,14,0.999852,0.333333,0.428662,0.5,0.34
f3,h4,14,0.998932,0.333333,0.83245,0.5,0.7
h5,f1,14,0.9988,0.333333,0.119574,0.6,0.5
h5,f2,14,0.999852,0.333333,0.191639,0.5725,0.642857
h5,h1,14,0.999572,0.333333,0.228055,0.5,0.321053
h5,h2,14,0.999852,0.666667,0,0.5,0.5
h5,h4,14,0.998932,0.666667,0.664526,0.5,0.7
h5,f4,15,0.997801,0.333333,0.793936,0.6,0.957143
h5,h3,15,0.999725,0.666667,0.334537,0.5,0.7
f3,f2,15,0.999914,0.333333,0.657919,0.5725,0.9
f3,f4,15,0.997801,0.666667,0.634183,0.6,0.5
f3,h3,15,0.999725,0.333333,0.805921,0.5,0.764286
h3,f2,15,0.999914,0.5,0.851998,0.5725,0.94
h3,f3,15,0.999915,0.5,0.805921,0.64,0.5
h3,f4,15,0.997801,0.5,0.440104,0.6,0.7
f2,f3,15,0.999915,0.25,0.657919,0.64,0.925
f2,f4,15,0.997801,0.25,0.292101,0.6,0.7
f2,h3,15,0.999725,0.25,0.851998,0.5,0.5
h1,f2,15,0.999914,0.5,0.556362,0.5725,0.352
h1,f3,15,0.999915,0.5,0.4744,0.64,0.79
h1,f4,15,0.997801,0.5,0.212492,0.6,0.5
h1,h3,15,0.999725,0.5,0.550043,0.5,0.678947
f3,f2,15,0.999914,0.333333,0.657919,0.5725,0.925
f3,f4,15,0.997801,0.666667,0.634183,0.6,0.5
f3,h3,15,0.999725,0.333333,0.805921,0.5,0.764286
