Label,NodeID,knowledge,experiance,periode,label_experience,Label_final
1.0,s2_h1,0.995412,0.828612,3,0.8200000000000001,0.9550000000000001
1.0,s2_h2,0.99633,0.8308,3,0.8200000000000001,0.9550000000000001
1.0,s3_f1,0.998624,0.830109,3,0.8200000000000001,0.9550000000000001
1.0,s3_f2,0.999082,0.830556,3,0.8200000000000001,0.9550000000000001
1.0,s3_h1,0.999082,0.703895,3,0.628,0.907
1.0,s3_h2,0.995412,0.826097,3,0.8200000000000001,0.9550000000000001
1.0,s4_f1,0.998624,0.830779,3,0.8200000000000001,0.9550000000000001
1.0,s4_f2,0.995412,0.828508,3,0.8200000000000001,0.9550000000000001
1.0,s4_h1,0.99633,0.532929,3,0.5800000000000001,0.895
1.0,s4_h2,0.999082,0.757803,3,0.724,0.931
1.0,s1_f3,0.993577,0.648862,3,0.628,0.907
0.2,s1_h3,0.26336,0.82902,3,0.8200000000000001,0.35500000000000004
0.6,s1_h4,0.504455,0.587014,3,0.5800000000000001,0.595
1.0,s2_f3,0.998165,0.83014,3,0.8200000000000001,0.9550000000000001
1.0,s2_h3,0.999082,0.830044,3,0.8200000000000001,0.9550000000000001
1.0,s2_h4,0.997247,0.829914,3,0.8200000000000001,0.9550000000000001
1.0,s3_f3,0.999082,0.830748,3,0.8200000000000001,0.9550000000000001
1.0,s3_h3,0.999082,0.830044,3,0.8200000000000001,0.9550000000000001
1.0,s3_h4,0.994494,0.827326,3,0.8200000000000001,0.9550000000000001
1.0,s4_f3,0.999082,0.830748,3,0.8200000000000001,0.9550000000000001
1.0,s4_h3,0.998165,0.666503,3,0.676,0.919
1.0,s4_h4,0.997247,0.829914,3,0.8200000000000001,0.9550000000000001
0.4,s1_f4,0.516567,0.758188,3,0.724,0.48100000000000004
0.4,s1_h5,0.402418,0.830748,3,0.8200000000000001,0.5050000000000001
1.0,s2_f4,0.994494,0.827251,3,0.8200000000000001,0.9550000000000001
1.0,s2_h5,0.999082,0.83014,3,0.8200000000000001,0.9550000000000001
1.0,s3_f4,0.997247,0.589861,3,0.5800000000000001,0.895
1.0,s3_h5,0.998165,0.830748,3,0.8200000000000001,0.9550000000000001
1.0,s4_f4,0.997247,0.829646,3,0.8200000000000001,0.9550000000000001
1.0,s4_h5,0.999082,0.449775,3,0.388,0.847
1.0,s1_f5,0.997431,0.757593,3,0.724,0.931
1.0,s2_f5,0.997064,0.829108,3,0.8200000000000001,0.9550000000000001
1.0,s3_f5,0.997431,0.449422,3,0.42,0.855
0.6,s4_f5,0.70027,0.829956,3,0.8200000000000001,0.655
0.6,s1_f1,0.701921,0.757919,4,0.748,0.637
0.0,s1_f2,0.0,0.423853,4,0.3096,0.0774
1.0,s1_h1,0.997247,0.481238,4,0.492,0.873
1.0,s1_h2,0.999082,0.59214,4,0.492,0.873
1.0,s2_f1,0.997064,0.898932,4,0.892,0.973
1.0,s2_f2,0.99633,0.898995,4,0.892,0.973
1.0,s2_h1,0.994494,0.898541,4,0.892,0.973
1.0,s2_h2,0.999082,0.900196,4,0.892,0.973
1.0,s3_f1,0.997431,0.900756,4,0.892,0.973
1.0,s3_f2,0.999082,0.901208,4,0.892,0.973
0.0,s3_h1,0.261524,0.827648,4,0.7767999999999999,0.19419999999999998
1.0,s3_h2,0.992659,0.89708,4,0.892,0.973
1.0,s4_f1,0.999816,0.901146,4,0.892,0.973
1.0,s4_f2,0.995412,0.89848,4,0.892,0.973
1.0,s4_h1,0.997247,0.727203,4,0.748,0.937
1.0,s4_h2,0.998165,0.858956,4,0.8344,0.9586
0.0,s1_f3,0.261524,0.793379,4,0.7767999999999999,0.19419999999999998
0.0,s1_h3,0.0,0.591875,4,0.5720000000000001,0.14300000000000002
1.0,s1_h4,0.997935,0.552402,4,0.5880000000000001,0.897
1.0,s2_f3,0.998165,0.900582,4,0.892,0.973
1.0,s2_h3,1.0,0.900911,4,0.892,0.973
1.0,s2_h4,0.996559,0.900066,4,0.892,0.973
1.0,s3_f3,0.999082,0.90132,4,0.892,0.973
1.0,s3_h3,1.0,0.900911,4,0.892,0.973
1.0,s3_h4,0.995183,0.897409,4,0.892,0.973
1.0,s4_f3,0.999082,0.90132,4,0.892,0.973
1.0,s4_h3,0.997247,0.805547,4,0.8056000000000001,0.9514
1.0,s4_h4,0.996559,0.900066,4,0.892,0.973
0.6,s1_f4,0.701249,0.656892,4,0.5944,0.5986
0.6,s1_h5,0.70027,0.651177,4,0.652,0.613
1.0,s2_f4,0.992353,0.897365,4,0.892,0.973
1.0,s2_h5,0.999816,0.900967,4,0.892,0.973
1.0,s3_f4,0.999388,0.760652,4,0.748,0.937
1.0,s3_h5,0.997431,0.900935,4,0.892,0.973
1.0,s4_f4,0.999388,0.899911,4,0.892,0.973
1.0,s4_h5,0.999816,0.680064,4,0.6328,0.9082
1.0,s1_f5,1.0,0.858141,4,0.8344,0.9586
1.0,s2_f5,0.994494,0.899521,4,0.892,0.973
1.0,s3_f5,1.0,0.679167,4,0.652,0.913
1.0,s4_f5,1.0,0.775587,4,0.732,0.933
0.0,s1_f1,0.0,0.734443,5,0.6888,0.1722
1.0,s1_f2,0.997247,0.246159,5,0.18575999999999998,0.79644
1.0,s1_h1,0.997247,0.697567,5,0.6952,0.9238
0.0,s1_h2,0.0,0.762745,5,0.6952,0.1738
1.0,s2_f1,0.997247,0.940072,5,0.9352,0.9838
1.0,s2_f2,0.994494,0.939801,5,0.9352,0.9838
